Target Symbol	Chr	Gene Start	Gene End	Gene Width	Gene Strand	Gene Cytoband	Match Start	Match End	Match Width	L2R Status	L2R Value	L2R Segment Width	BAF Status	BAF Value	BAF Segment Width
CDK6	chr7	92234234	92465941	231708	-	7q21.2	92234234	92465941	231708	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
BAIAP2L1	chr7	97920961	98030427	109467	-	7q21.3	97920961	98030427	109467	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
ACTL6B	chr7	100240725	100254084	13360	-	7q22.1	100240725	100254084	13360	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
EPHB4	chr7	100400186	100425143	24958	-	7q22.1	100400186	100425143	24958	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
PIK3CG	chr7	106505722	106549423	43702	+	7q22.3	106505722	106549423	43702	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
MET	chr7	116312412	116438440	126029	+	7q31.2	116312412	116438440	126029	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
SMO	chr7	128828712	128853385	24674	+	7q32.1	128828712	128853385	24674	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
KIAA1549	chr7	138516126	138666064	149939	-	7q34	138516126	138666064	149939	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
BRAF	chr7	140433812	140624564	190753	-	7q34	140433812	140624564	190753	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
EZH2	chr7	148504463	148581441	76979	-	7q36.1	148504463	148581441	76979	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
SMARCD3	chr7	150936058	150974231	38174	-	7q36.1	150936058	150974231	38174	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
RHEB	chr7	151163097	151217010	53914	-	7q36.1	151163097	151217010	53914	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
KMT2C	chr7	151832009	152133090	301082	-	7q36.1	151832009	152133090	301082	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
PTPRN2	chr7	157331745	158380494	1048750	-	7q36.3	157331745	158380494	1048750	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
BLK	chr8	11351520	11422108	70589	+	8p23.1	11351520	11422108	70589	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
LOXL2	chr8	23154409	23261722	107314	-	8p21.3	23154409	23261722	107314	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
ZNF703	chr8	37553268	37557539	4272	+	8p11.23	37553268	37557539	4272	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
ADGRA2	chr8	37654400	37701504	47105	+	8p11.23	37654400	37701504	47105	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
FGFR1	chr8	38268655	38326352	57698	-	8p11.23	38268655	38326352	57698	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
TACC1	chr8	38585703	38710546	124844	+	8p11.22	38585703	38710546	124844	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
IDO1	chr8	39771327	39786309	14983	+	8p11.21	39771327	39786309	14983	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
PRKDC	chr8	48685668	48872743	187076	-	8q11.21	48685668	48872743	187076	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
PLAG1	chr8	57073467	57123859	50393	-	8q12.1	57073467	57123859	50393	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
MYBL1	chr8	67474409	67525484	51076	-	8q13.1	67474409	67525484	51076	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
CCNE2	chr8	95892452	95907482	15031	-	8q22.1	95892452	95907482	15031	Normal	-0.0104104645548159	106165801	Hetero	0.5	106088301
RSPO2	chr8	108911543	109095913	184371	-	8q23.1	108911543	109095913	184371	Normal	-0.013514829188466	37620954	Hetero	0.5	37684005
MYC	chr8	128748314	128753680	5367	+	8q24.21	128748314	128753680	5367	Normal	-0.013514829188466	37620954	Hetero	0.5	37684005
NDRG1	chr8	134249413	134309547	60135	-	8q24.22	134249413	134309547	60135	Normal	-0.013514829188466	37620954	Hetero	0.5	37684005
PTK2	chr8	141668480	142011412	342933	-	8q24.3	141668480	142011412	342933	Normal	-0.013514829188466	37620954	Hetero	0.5	37684005
SMARCA2	chr9	2015218	2193623	178406	+	9p24.3	2015218	2193623	178406	Normal	-0.00421257747615181	44688357	Hetero	0.5	138122505
JAK2	chr9	4985085	5128183	143099	+	9p24.1	4985085	5128183	143099	Normal	-0.00421257747615181	44688357	Hetero	0.5	138122505
CD274	chr9	5450502	5470567	20066	+	9p24.1	5450502	5470567	20066	Normal	-0.00421257747615181	44688357	Hetero	0.5	138122505
CDKN2A	chr9	21967750	21994490	26741	-	9p21.3	21967750	21994490	26741	Normal	-0.00421257747615181	44688357	Hetero	0.5	138122505
CDKN2B	chr9	22002901	22009312	6412	-	9p21.3	22002901	22009312	6412	Normal	-0.00421257747615181	44688357	Hetero	0.5	138122505
TEK	chr9	27109138	27230176	121039	+	9p21.2	27109138	27230176	121039	Normal	-0.00421257747615181	44688357	Hetero	0.5	138122505
FANCG	chr9	35073834	35080013	6180	-	9p13.3	35073834	35080013	6180	Normal	-0.00421257747615181	44688357	Hetero	0.5	138122505
PAX5	chr9	36833271	37034476	201206	-	9p13.2	36833271	37034476	201206	Normal	-0.00421257747615181	44688357	Hetero	0.5	138122505
GNAQ	chr9	80331189	80646365	315177	-	9q21.2	80331189	80646365	315177	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
NTRK2	chr9	87283372	87641985	358614	+	9q21.33	87283372	87641985	358614	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
SEMA4D	chr9	91975705	92094611	118907	-	9q22.2	91975705	92094611	118907	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
SYK	chr9	93563961	93660842	96882	+	9q22.2	93563961	93660842	96882	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
FANCC	chr9	97861335	98079991	218657	-	9q22.32	97861335	98079991	218657	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
PTCH1	chr9	98205263	98279247	73985	-	9q22.32	98205263	98279247	73985	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
TGFBR1	chr9	101867370	101916473	49104	+	9q22.33	101867370	101916473	49104	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
PTPA	chr9	131873227	131911225	37999	+	9q34.11	131873227	131911225	37999	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
ABL1	chr9	133589267	133763062	173796	+	9q34.12	133589267	133763062	173796	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
TSC1	chr9	135766734	135820020	53287	-	9q34.13	135766734	135820020	53287	Gain	0.117210717680062	5701977	Hetero	0.5	138122505
BRD3	chr9	136895445	136933141	37697	-	9q34.2	136895445	136933141	37697	Gain	0.117210717680062	5701977	Hetero	0.5	138122505
GATA3	chr10	8096666	8117164	20499	+	10p14	8096666	8117164	20499	Normal	-0.00167131289608845	69496466	Hetero	0.5	69290337
KIF5B	chr10	32297937	32345371	47435	-	10p11.22	32297937	32345371	47435	Normal	-0.00167131289608845	69496466	Hetero	0.5	69290337
NRP1	chr10	33466418	33623833	157416	-	10p11.22	33466418	33623833	157416	Normal	-0.00167131289608845	69496466	Hetero	0.5	69290337
FZD8	chr10	35927176	35930362	3187	-	10p11.21	35927176	35930362	3187	Normal	-0.00167131289608845	69496466	Hetero	0.5	69290337
RET	chr10	43572516	43625797	53282	+	10q11.21	43572516	43625797	53282	Normal	-0.00167131289608845	69496466	Hetero	0.5	69290337
CCDC6	chr10	61548505	61666414	117910	-	10q21.2	61548505	61666414	117910	Normal	-0.00167131289608845	69496466	Hetero	0.5	69290337
CDK1	chr10	62538088	62554611	16524	+	10q21.2	62538088	62554611	16524	Normal	-0.00167131289608845	69496466	Hetero	0.5	69290337
VCL	chr10	75757871	75879914	122044	+	10q22.2	75757871	75879914	122044	Normal	0.010978642303391	45887890	Hetero	0.5	45689496
PTEN	chr10	89623194	89731687	108494	+	10q23.31	89623194	89731687	108494	Normal	0.010978642303391	45887890	Hetero	0.5	45689496
FAS	chr10	90750315	90776818	26504	+	10q23.31	90750315	90776818	26504	Normal	0.010978642303391	45887890	Hetero	0.5	45689496
KIF11	chr10	94352824	94415152	62329	+	10q23.33	94352824	94415152	62329	Normal	0.010978642303391	45887890	Hetero	0.5	45689496
BTRC	chr10	103113789	103317078	203290	+	10q24.32	103113789	103317078	203290	Normal	0.010978642303391	45887890	Hetero	0.5	45689496
SUFU	chr10	104263718	104393214	129497	+	10q24.32	104263718	104393214	129497	Normal	0.010978642303391	45887890	Hetero	0.5	45689496
FGFR2	chr10	123237843	123357972	120130	-	10q26.13	123237843	123357972	120130	Normal	0.029961396814639	15819987	Hetero	0.5	16917165
HRAS	chr11	532241	535567	3327	-	11p15.5	532241	535567	3327	Loss	-0.582020224941981	2461910	Unbalanced	0.214994896203279	2379924
IGF2	chr11	2150341	2170833	20493	-	11p15.5	2150341	2170833	20493	Loss	-0.582020224941981	2461910	Unbalanced	0.214994896203279	2379924
CARS	chr11	3022151	3078681	56531	-	11p15.4	3022151	3078681	56531	Loss	-0.584094991387128	17495544	Unbalanced	0.187831480924348	17445096
WEE1	chr11	9595227	9611313	16087	+	11p15.4	9595227	9611313	16087	Loss	-0.584094991387128	17495544	Unbalanced	0.187831480924348	17445096
LDHA	chr11	18415935	18429765	13831	+	11p15.1	18415935	18429765	13831	Loss	-0.584094991387128	17495544	Unbalanced	0.187831480924348	17445096
FANCF	chr11	22644078	22647387	3310	-	11p14.3	22644078	22647387	3310	Loss	-0.56305299903967	23956492	Unbalanced	0.193094895953313	23866696
WT1	chr11	32409321	32457081	47761	-	11p13	32409321	32457081	47761	Loss	-0.56305299903967	23956492	Unbalanced	0.193094895953313	23866696
VEGFB	chr11	64002055	64006736	4682	+	11q13.1	64002055	64006736	4682	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
MEN1	chr11	64570985	64578766	7782	-	11q13.1	64570985	64578766	7782	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
DPF2	chr11	65101224	65120451	19228	+	11q13.1	65101224	65120451	19228	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
LRP5	chr11	68080076	68216743	136668	+	11q13.2	68080076	68216743	136668	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
CCND1	chr11	69455872	69469242	13371	+	11q13.3	69455872	69469242	13371	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
FGF19	chr11	69513005	69519106	6102	-	11q13.3	69513005	69519106	6102	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
FGF4	chr11	69587796	69590171	2376	-	11q13.3	69587796	69590171	2376	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
FGF3	chr11	69624735	69634192	9458	-	11q13.3	69624735	69634192	9458	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
FOLR1	chr11	71900601	71907367	6767	+	11q13.4	71900601	71907367	6767	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
MRE11A	chr11	94150468	94227040	76573	-	11q21	94150468	94227040	76573	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
PGR	chr11	100900354	101000544	100191	-	11q22.1	100900354	101000544	100191	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
ATM	chr11	108093558	108239826	146269	+	11q22.3	108093558	108239826	146269	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
KMT2A	chr11	118307204	118397539	90336	+	11q23.3	118307204	118397539	90336	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
CBL	chr11	119076985	119178859	101875	+	11q23.3	119076985	119178859	101875	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
CHEK1	chr11	125495030	125546150	51121	+	11q24.2	125495030	125546150	51121	Normal	-0.00354082942571775	83740130	Hetero	0.5	83695259
CCND2	chr12	4382901	4414522	31622	+	12p13.32	4382901	4414522	31622	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
FGF23	chr12	4477392	4488894	11503	-	12p13.32	4477392	4488894	11503	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
FGF6	chr12	4543307	4554780	11474	-	12p13.32	4543307	4554780	11474	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
ETV6	chr12	11802787	12048325	245539	+	12p13.2	11802787	12048325	245539	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
LRP6	chr12	12268960	12419811	150852	-	12p13.2	12268960	12419811	150852	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
CDKN1B	chr12	12870203	12875316	5114	+	12p13.1	12870203	12875316	5114	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
GUCY2C	chr12	14765565	14849519	83955	-	12p13.1	14765565	14849519	83955	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
LDHB	chr12	21788275	21810789	22515	-	12p12.1	21788275	21810789	22515	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
KRAS	chr12	25357722	25403865	46144	-	12p12.1	25357722	25403865	46144	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
PPFIBP1	chr12	27677044	27848497	171454	+	12p11.23	27677044	27848497	171454	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
H3F3C	chr12	31944118	31945175	1058	-	12p11.21	31944118	31945175	1058	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
ARID2	chr12	46123619	46301819	178201	+	12q12	46123619	46301819	178201	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
WNT1	chr12	49372235	49376396	4162	+	12q13.12	49372235	49376396	4162	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
KMT2D	chr12	49412757	49449107	36351	-	12q13.12	49412757	49449107	36351	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
SMARCD1	chr12	50478982	50494494	15513	+	12q13.12	50478982	50494494	15513	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
CDK2	chr12	56360552	56366573	6022	+	12q13.2	56360552	56366573	6022	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
ERBB3	chr12	56473808	56497291	23484	+	12q13.2	56473808	56497291	23484	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
SMARCC2	chr12	56555635	56583351	27717	-	12q13.2	56555635	56583351	27717	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
CS	chr12	56665482	56694175	28694	-	12q13.3	56665482	56694175	28694	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
STAT2	chr12	56735381	56754037	18657	-	12q13.3	56735381	56754037	18657	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
STAT6	chr12	57489186	57505196	16011	-	12q13.3	57489186	57505196	16011	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
B4GALNT1	chr12	58019677	58027022	7346	-	12q13.3	58019677	58027022	7346	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
CDK4	chr12	58141509	58146230	4722	-	12q14.1	58141509	58146230	4722	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
LRIG3	chr12	59265936	59314319	48384	-	12q14.1	59265936	59314319	48384	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
TBK1	chr12	64845839	64895899	50061	+	12q14.2	64845839	64895899	50061	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
MDM2	chr12	69201951	69239324	37374	+	12q15	69201951	69239324	37374	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
APAF1	chr12	99039077	99129211	90135	+	12q23.1	99039077	99129211	90135	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
IGF1	chr12	102789644	102874423	84780	-	12q23.2	102789644	102874423	84780	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
PTPN11	chr12	112856535	112947717	91183	+	12q24.13	112856535	112947717	91183	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
RAB35	chr12	120532898	120554643	21746	-	12q24.23	120532898	120554643	21746	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
HNF1A	chr12	121416370	121440314	23945	+	12q24.31	121416370	121440314	23945	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
SETD1B	chr12	122242637	122270562	27926	+	12q24.31	122242637	122270562	27926	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
BCL7A	chr12	122459791	122499950	40160	+	12q24.31	122459791	122499950	40160	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
POLE	chr12	133200347	133264110	63764	-	12q24.33	133200347	133254083	53737	Normal	-0.0177726234563591	133628716	Hetero	0.5	133045300
CDK8	chr13	26828240	26979373	151134	+	13q12.13	26828240	26979373	151134	Loss	-0.577253459418399	5961682	Unbalanced	0.195886569478179	5923970
FLT3	chr13	28577410	28674729	97320	-	13q12.2	28577410	28597839	20430	Loss	-0.577253459418399	5961682	Unbalanced	0.195886569478179	5923970
FLT3	chr13	28577410	28674729	97320	-	13q12.2	28627672	28674729	47058	Loss	-0.551879538657549	5330333	Unbalanced	0.184902560360658	5312844
FLT1	chr13	28874482	29069265	194784	-	13q12.2	28874482	29069265	194784	Loss	-0.551879538657549	5330333	Unbalanced	0.184902560360658	5312844
BRCA2	chr13	32889616	32973809	84194	+	13q13.1	32889616	32973809	84194	Loss	-0.551879538657549	5330333	Unbalanced	0.184902560360658	5312844
CCNA1	chr13	37005966	37017019	11054	+	13q13.3	37005966	37017019	11054	Loss	-0.6066475570304	10584909	Unbalanced	0.184632498055997	10584909
TNFSF11	chr13	43136871	43182149	45279	+	13q14.11	43136871	43182149	45279	Loss	-0.6066475570304	10584909	Unbalanced	0.184632498055997	10584909
SUCLA2	chr13	48516790	48575462	58673	-	13q14.2	48516790	48575462	58673	Loss	-0.554775462708291	25214592	Unbalanced	0.194588666410339	25198445
RB1	chr13	48877882	49056026	178145	+	13q14.2	48877882	49056026	178145	Loss	-0.554775462708291	25214592	Unbalanced	0.194588666410339	25198445
FGF14	chr13	102373204	103054778	681575	-	13q33.1	102373204	103054778	681575	Loss	-0.555248456973316	26839834	Unbalanced	0.191308032931299	26018888
TNFSF13B	chr13	108921976	108960832	38857	+	13q33.3	108921976	108960832	38857	Loss	-0.555248456973316	26839834	Unbalanced	0.191308032931299	26018888
IRS2	chr13	110406183	110438914	32732	-	13q34	110406183	110438914	32732	Loss	-0.555248456973316	26839834	Unbalanced	0.191308032931299	26018888
BCL2L2	chr14	23775970	23780968	4999	+	14q11.2	23775970	23780968	4999	Loss	-0.565460382776657	11094947	Unbalanced	0.19387705012611	10978434
NFKBIA	chr14	35870715	35873960	3246	-	14q13.2	35870715	35873960	3246	Loss	-0.554059945887678	6726978	Unbalanced	0.183408946996289	6713363
NKX2-1	chr14	36985603	36989430	3828	-	14q13.3	36985603	36989430	3828	Loss	-0.554059945887678	6726978	Unbalanced	0.183408946996289	6713363
DPF3	chr14	73086003	73360824	274822	-	14q24.2	73086003	73360824	274822	Loss	-0.599292032286545	30390339	Unbalanced	0.18692211568653	30370284
TSHR	chr14	81421868	81612646	190779	+	14q31.1	81421868	81612646	190779	Loss	-0.649011616932083	10411371	Unbalanced	0.198335281156358	12363696
BCL11B	chr14	99635624	99738050	102427	-	14q32.2	99635624	99738050	102427	Loss	-0.554693862979318	15821913	Unbalanced	0.193199689111	15871676
HSP90AA1	chr14	102547074	102606086	59013	-	14q32.31	102547074	102606086	59013	Loss	-0.554693862979318	15821913	Unbalanced	0.193199689111	15871676
KLC1	chr14	104095524	104167888	72365	+	14q32.33	104095524	104167888	72365	Loss	-0.554693862979318	15821913	Unbalanced	0.193199689111	15871676
AKT1	chr14	105235686	105262080	26395	-	14q32.33	105235686	105262080	26395	Loss	-0.554693862979318	15821913	Unbalanced	0.193199689111	15871676
NUTM1	chr15	34635515	34649938	14424	+	15q14	34635515	34649938	14424	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
RAD51	chr15	40987326	41024356	37031	+	15q15.1	40987326	41024356	37031	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
DLL4	chr15	41221530	41231258	9729	+	15q15.1	41221530	41231258	9729	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
CCNB2	chr15	59397283	59417244	19962	+	15q22.2	59397283	59417244	19962	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
MAP2K1	chr15	66679210	66783882	104673	+	15q22.31	66679210	66783882	104673	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
SMAD3	chr15	67358194	67487533	129340	+	15q22.33	67358194	67487533	129340	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
PKM	chr15	72491369	72523965	32597	-	15q23	72491369	72523965	32597	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
NTRK3	chr15	88419987	88799962	379976	-	15q25.3	88419987	88799962	379976	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
IDH2	chr15	90627210	90645786	18577	-	15q26.1	90627210	90645786	18577	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
BLM	chr15	91260557	91358692	98136	+	15q26.1	91260557	91358692	98136	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
IGF1R	chr15	99191767	99507759	315993	+	15q26.3	99191767	99507759	315993	Normal	-0.000865283387842149	75954571	Hetero	0.5	79072832
AXIN1	chr16	337439	402676	65238	-	16p13.3	337439	402676	65238	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
TSC2	chr16	2097895	2138721	40827	+	16p13.3	2097895	2138721	40827	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
CREBBP	chr16	3775055	3930121	155067	-	16p13.3	3775055	3930121	155067	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
GRIN2A	chr16	9847261	10276611	429351	-	16p13.2	9847261	10276611	429351	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
SOCS1	chr16	11348273	11350039	1767	-	16p13.13	11348273	11350039	1767	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
PALB2	chr16	23614482	23652678	38197	-	16p12.2	23614482	23652678	38197	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
PLK1	chr16	23690092	23701688	11597	+	16p12.2	23690092	23701688	11597	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
PRRT2	chr16	29823408	29827202	3795	+	16p11.2	29823408	29827202	3795	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
MAPK3	chr16	30125425	30134630	9206	-	16p11.2	30125425	30134630	9206	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
BCL7C	chr16	30845361	30905623	60263	-	16p11.2	30845361	30905623	60263	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
SETD1A	chr16	30968614	30995983	27370	+	16p11.2	30968614	30995983	27370	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
FUS	chr16	31191430	31206192	14763	+	16p11.2	31191430	31206192	14763	Normal	0.00743051032271626	35187839	Hetero	0.5	55073144
BRD7	chr16	50352928	50402845	49918	-	16q12.1	50352928	50402845	49918	Normal	0.0238204423519645	8914415	Hetero	0.5	55073144
NUP93	chr16	56764016	56878861	114846	+	16q13	56764016	56878861	114846	Normal	0.000626138995840332	33896577	Hetero	0.5	33413640
CBFB	chr16	67063049	67134958	71910	+	16q22.1	67063049	67134958	71910	Normal	0.000626138995840332	33896577	Hetero	0.5	33413640
CTCF	chr16	67596309	67673088	76780	+	16q22.1	67596309	67673088	76780	Normal	0.000626138995840332	33896577	Hetero	0.5	33413640
CDH1	chr16	68771192	68869445	98254	+	16q22.1	68771192	68869445	98254	Normal	0.000626138995840332	33896577	Hetero	0.5	33413640
TP53	chr17	7571719	7590868	19150	-	17p13.1	7571719	7590868	19150	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
AURKB	chr17	8108048	8113944	5897	-	17p13.1	8108048	8113944	5897	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
MAP2K4	chr17	11924134	12047148	123015	+	17p12	11924134	12047148	123015	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
FLCN	chr17	17115526	17140502	24977	-	17p11.2	17115526	17140502	24977	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
GID4	chr17	17942610	17971718	29109	+	17p11.2	17942610	17971718	29109	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
NF1	chr17	29421944	29704695	282752	+	17q11.2	29421944	29704695	282752	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
CDK12	chr17	37617763	37690818	73056	+	17q12	37617763	37690818	73056	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
ERBB2	chr17	37844336	37884915	40580	+	17q12	37844336	37884915	40580	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
RARA	chr17	38465422	38513895	48474	+	17q21.2	38465422	38513895	48474	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
TOP2A	chr17	38544772	38574202	29431	-	17q21.2	38544772	38574202	29431	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
SMARCE1	chr17	38783975	38804103	20129	-	17q21.2	38783975	38804103	20129	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
STAT5B	chr17	40351194	40428424	77231	-	17q21.2	40351194	40428424	77231	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
STAT5A	chr17	40439564	40463960	24397	+	17q21.2	40439564	40463960	24397	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
STAT3	chr17	40465342	40540513	75172	-	17q21.2	40465342	40540513	75172	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
BRCA1	chr17	41196311	41277500	81190	-	17q21.31	41196311	41277500	81190	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
ETV4	chr17	41605210	41623800	18591	-	17q21.31	41605210	41623800	18591	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
SPOP	chr17	47676245	47755525	79281	-	17q21.33	47676245	47755525	79281	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
RNF43	chr17	56429860	56494943	65084	-	17q22	56429860	56494943	65084	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
CLTC	chr17	57697049	57774317	77269	+	17q23.1	57697049	57774317	77269	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
RPS6KB1	chr17	57970406	58027786	57381	+	17q23.1	57970406	58027786	57381	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
PPM1D	chr17	58677543	58743640	66098	+	17q23.2	58677543	58743640	66098	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
BRIP1	chr17	59756546	59940920	184375	-	17q23.2	59756546	59940920	184375	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
SMARCD2	chr17	61909440	61920351	10912	-	17q23.3	61909440	61920351	10912	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
CD79B	chr17	62006095	62009714	3620	-	17q23.3	62006095	62009714	3620	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
GNA13	chr17	63005406	63052920	47515	-	17q24.1	63005406	63052920	47515	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
PRKAR1A	chr17	66409763	66547457	137695	+	17q24.2	66409763	66547457	137695	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
H3F3B	chr17	73772514	73776016	3503	-	17q25.1	73772514	73776016	3503	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
CDK3	chr17	73996986	74002080	5095	+	17q25.1	73996986	74002080	5095	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
SRSF2	chr17	74730196	74733493	3298	-	17q25.1	74730196	74733493	3298	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
