"probeID" "CHROMOSOME" "START_POS" "END_POS" "X1.RV" "X2.AD" "X3.ES" "X4.GM" "X5.LD" "X6.VJ" "X7.DG" "X8.MM" "X9.LA" "X10.CB" "X11.BG" "X12.BC" "X13.VT" "X14.CJ" "X15.GG" "X16.DD" "X17.VV" "X18.JA" "X19.BF" "X20.CJ" "X21.DC"
"24201" "S-tag221010" 2 83157615 83157635 0.2819473 0.2344335 0.2699805 0.1763245 0.2843844 0.519052 -0.02935301 0.1913769 -0.3973861 0.2209073 -0.1484588 0.3164769 0.4864739 0.3609909 0.5211223 0.3374901 0.5488108 -0.006630712 -0.9001179 0.03755339 0.283985
"24301" "S-tag234584" 2 84602323 84602343 0.07892013 0.2398744 -0.04652566 0.2339989 0.1361551 0.1612431 0.130647 -0.02074593 -0.5507689 -0.146609 -0.0330227 0.1615728 0.2640341 0.1034452 0.0652358 0.08073636 0.1284598 0.005487521 -0.2300404 0.02456398 -0.02766174
"24401" "S-tag081463" 2 86145787 86145807 0.038362 0.1027692 -0.2178883 -0.07776861 -0.6148163 -0.274258 -0.1032394 -0.2642729 -0.9349554 -0.1222947 0.05250548 0.02302203 0.1101702 -0.1224232 0.04901543 0.2396679 -0.3253426 -0.1394285 -0.5919596 -0.1960031 -0.4772758
"24501" "S-tag127344" 2 88758598 88758618 0.4994187 0.4345182 0.3841313 0.2818559 0.03039322 0.2581564 0.4707186 -0.334816 -0.676057 0.4306306 0.514982 0.5085255 0.4702667 -0.05546615 0.3545977 -0.03669044 0.4687617 0.7427108 -0.3567736 -0.428506 0.005738432
"24601" "S-tag111848" 2 95431369 95431389 0.0580109 -0.419174 -0.1252366 0.2086498 -0.09342171 0.2732259 0.07496185 0.08329985 -0.03527445 -0.1355165 -0.06231514 0.0890238 0.1504279 -0.08304404 -1.061813 -0.4357476 0.0001962352 0.0545867 -0.2058195 0.09887236 -0.1960764
"24701" "S-tag163896" 2 97337491 97337511 0.241367 0.5730603 0.4703507 0.3807577 0.5023754 0.6216694 0.3548306 0.2387354 0.4782907 0.8479884 0.7474133 0.6374604 0.3172593 0.3859592 0.04620039 0.4893362 0.6745127 0.4833998 0.3938092 0.3800554 0.2906659
"24801" "S-tag206748" 2 99062244 99062264 -0.0354877 -0.1808413 -0.09587128 -0.249566 -0.1331282 -0.2439407 0.0006295906 -0.04183885 -0.04392996 -0.1464283 0.2548694 0.09886907 0.2293666 0.03578225 -0.1585038 -0.04512779 -0.07442193 0.3158671 -0.01748026 -0.08437999 -0.169849
"24901" "S-tag275372" 2 99159718 99159738 -0.2882924 -0.2787295 -0.05858878 0.2364676 -0.06287901 0.0765205 0.02735277 -0.3031999 0.01238315 -0.06220748 0.1163599 -0.1919815 0.01253838 -0.1098345 -0.443278 -0.05135245 -0.1374779 0.1833133 -0.2377904 0.01977855 -0.1977604
"25001" "S-tag063102" 2 99932255 99932275 0.3846712 0.2246929 0.07471238 0.3219275 0.02197492 -0.04239846 0.02270076 -0.05194813 0.005110552 -0.03560603 -0.05631995 0.1343039 -0.3293861 -0.0777097 -0.05451566 0.2748691 0.2494261 -0.05394199 -0.03260022 -0.1949534 0.06984682
"25101" "S-tag275807" 2 100582615 100582635 -0.4249556 -0.006855111 -0.1318599 -0.09438453 -0.05419994 -0.1444394 0.06725407 0.07092422 0.3014388 0.1201166 -0.5554299 0.138085 0.3828174 0.09203153 -0.1325074 0.04732761 0.5518571 0.1845168 0.05752293 0.2510651 -0.01733091
"25201" "S-tag242465" 2 101824546 101824566 0.204721 0.04268029 0.0571546 0.2017286 0.1651126 0.1482928 0.1660256 -0.1750399 -0.005023753 -0.1039059 -0.05277189 0.2022182 0.2786823 0.2399988 0.3339545 0.5464669 0.4645685 -0.6361091 -0.1355425 -0.1582898 0.08370227
"25301" "S-tag153923" 2 103297704 103297724 0.007415196 -0.1760336 -0.06594945 -0.09837603 -0.07233012 0.01337613 0.06078117 -0.4963019 0.05999284 -0.1820019 -0.1935417 -0.5591808 -0.2548452 -0.07451828 -0.4411632 -0.2494643 -0.3338825 -0.5398424 -0.280708 -0.07796042 -0.1352051
"25401" "S-tag104419" 2 104763415 104763435 0.2533398 0.09563081 -0.04212404 0.1664089 0.0981609 0.2552571 0.1456969 0.5167196 0.3223207 0.2009138 0.2639687 0.2118064 0.2331886 0.1969636 -0.4176165 0.2005733 -0.0783463 0.4701685 0.4644965 0.660974 0.09713566
"25501" "S-tag169326" 2 106071159 106071179 0.4626232 -0.0544501 0.2726217 0.5631794 0.1712328 0.2614025 0.2939657 0.6190729 0.5271862 0.3818308 0.5283826 0.4453827 0.4154733 0.2909558 -0.1586783 0.3548235 0.4355215 0.2181637 0.6136863 0.4494247 0.1306784
"25601" "S-tag123441" 2 107588345 107588365 -0.2325005 -0.01659644 0.1741441 -0.1559986 -0.2041093 -0.1129274 0.128167 -0.004813718 0.07541709 -0.1318422 -0.4985163 -0.04919102 -0.3285715 -0.009267991 -1.052435 -0.410285 -0.1717668 -0.228648 0.03918025 -0.08671767 -0.42248
"25701" "S-tag194376" 2 109055717 109055737 -0.4626356 -0.3266805 -0.05180899 -0.2387079 -0.2835817 -0.2625781 -0.1944443 -0.03939675 -0.2025821 -0.4697781 0.0002759275 0.05933603 -0.4287265 -0.3150985 -0.6742439 -0.07417262 0.09746488 -0.639456 -0.2359338 0.09333683 -0.4594169
"25801" "S-tag119117" 2 110885190 110885210 0.04339848 0.00763405 0.8953676 0.3924389 0.5221477 0.120424 0.04514167 -0.1302527 0.2245459 0.1615912 0.1098088 -0.08804493 0.06116843 0.1003602 -0.4165667 -0.0412662 0.1635392 0.3716008 -0.09408626 -0.3655244 0.01255181
"25901" "S-tag302491" 2 112736642 112736662 -0.1902206 0.241791 0.08874473 -0.4754885 0.03664193 0.3042029 0.210383 -0.1875345 0.2669176 0.09245598 0.4343566 -0.1091557 -0.3433459 -0.2059567 -0.5596799 0.06154114 -0.4581361 -0.06738272 -0.34285 -0.1145156 -0.01899621
"26001" "S-tag187721" 2 113958659 113958679 -0.07724047 0.3624062 -0.1526654 0.1451009 -0.1019584 0.08482321 0.01661527 0.1931413 0.06102235 0.2358786 0.1497997 0.07540001 0.3574185 0.1495638 -0.4252234 -0.1066906 -0.08430058 0.673818 0.2955687 0.0004871922 0.205357
"26101" "S-tag276459" 2 115131208 115131228 -0.3355598 -0.1480506 -0.4343104 -0.5086881 -0.2050607 -0.256023 -0.3732819 -0.400906 -0.3323109 -0.5411103 -0.5601741 -0.2942334 -0.5127255 -0.4591882 -0.5112803 -0.2652369 -0.1636761 -0.3526208 -0.118383 -0.08812304 -0.2206812
"26201" "S-tag082324" 2 116675582 116675602 0.368479 0.268237 0.2493003 0.08442642 0.2652352 0.4312255 0.185036 0.221109 -0.1740235 0.1815843 0.2281054 0.3368532 0.2328517 0.2304338 0.1429773 0.4119564 0.4648937 0.2366341 0.3597981 0.3359676 0.3312828
"26301" "S-tag314593" 2 118104618 118104638 -0.2586356 0.112221 -0.04686947 -0.1202524 0.1154796 0.1537477 0.1101866 0.001192995 0.2948585 0.1549432 0.1467658 0.007669617 0.3369521 0.1089295 -0.2777703 -0.4738845 -0.2881227 0.1835024 0.07542341 0.006047025 0.2027405
"26401" "S-tag105333" 2 119636455 119636475 -0.2151583 -0.1009341 -0.3056795 -0.3137272 -0.1923027 -0.1581771 -0.102771 -0.2241743 0.06222386 0.1570613 0.2110364 -0.1358813 -0.09784161 -0.06084355 -0.6827677 -0.2889822 -0.4060055 -0.1510799 -0.05716066 -0.04879684 -0.00633351
"26501" "S-tag253536" 2 120968205 120968225 0.1630348 0.1594381 0.02503188 0.165207 0.3290923 0.06587719 0.1892732 -0.07272401 0.06034107 0.2181861 0.1406964 0.3020075 0.3315058 0.114153 -0.154407 0.3784864 0.4394082 0.06254399 -0.03663694 0.07132917 0.01709415
"26601" "S-tag039199" 2 122423386 122423406 -0.3626293 -0.0424828 -0.1188545 -0.3294968 -0.09698339 -0.1785589 -0.2860617 0.003579151 -0.05046673 -0.2533487 0.01656918 -0.4375556 -0.7329398 0.01286733 -0.577633 -0.4728956 -0.5657208 -0.452535 -0.3538537 -0.3071696 -0.2515047
"26701" "S-tag034781" 2 123968949 123968969 0.4161942 -0.4616759 -0.0969898 0.232657 -0.003611396 -0.3877469 -0.1608623 0.0003554097 0.2976703 -0.2099579 0.1385149 0.3133407 0.4100574 0.1042082 -0.401397 0.524018 0.5407215 0.1018641 0.4431578 0.5378206 0.1272739
"26801" "S-tag117786" 2 125403903 125403923 -0.1150693 -0.07044468 0.01796616 -0.9264035 -0.1357275 -0.1515007 -0.2024252 -0.4659328 -0.2887613 -0.3640095 -0.4410813 -0.1264243 -0.5660754 -0.310497 -0.5088279 -0.2970351 -0.5342606 -0.6448689 -0.4458057 -0.2220755 -0.02209757
"26901" "S-tag120873" 2 126917596 126917616 -0.2660582 0.07547498 -0.2137049 -0.440927 -0.06103882 0.1103145 -0.06364973 -0.5607352 -0.1788285 0.1119748 -0.3548789 -0.1041722 0.1956752 0.001903739 -0.4054592 -0.312271 0.3178054 -0.304626 -0.5324722 -0.3258578 -0.2187767
"27001" "S-tag120026" 2 128071003 128071023 -0.1063344 0.2661873 0.2177745 -0.1956157 0.1227647 0.04595716 -0.09250163 -0.0628887 0.1779645 0.09177674 0.2844298 0.1573615 0.1879177 0.1020299 -0.650858 0.1129697 0.1914339 0.08844869 0.05311657 -0.08043102 0.1035299
"27101" "S-tag318421" 2 129660367 129660387 0.0840888 0.1319005 0.03572606 -0.09109247 -0.08913273 0.1357414 0.2258446 -0.1615192 0.1792948 0.1192595 -0.06921713 0.153222 0.24597 -0.07809621 -0.2644516 0.03579373 0.1694601 0.02110937 -0.298632 -0.2311182 -0.1061626
"27201" "S-tag299184" 2 131625295 131625315 0.08276708 0.05248181 0.116649 0.08544707 -0.04417662 0.2937218 0.04498281 -0.1641055 0.1282779 0.1093584 -0.1994525 0.270783 0.3946291 0.05326638 -0.02735631 0.2418715 0.7147862 -0.1006028 -0.214132 -0.3315397 -0.1713239
"27301" "S-tag315718" 2 134070417 134070437 -0.1565116 0.1611942 -0.174313 -0.2562305 0.0335136 0.2244057 -0.02518888 -0.2375885 -0.1471878 -0.3515722 -0.2083054 -0.1504404 0.1335874 -0.2385352 -0.4787304 -0.3684575 -0.2861038 -0.09322239 -0.162466 -0.1160309 -0.1557597
"27401" "S-tag097312" 2 135557642 135557662 -0.1625504 0.2016961 0.1321034 0.09876446 0.240337 0.10525 0.07822713 -0.07686607 0.2487784 0.3450175 0.2243607 0.2154427 0.1807312 0.241834 -0.137117 0.1887963 -0.2006998 -0.06076656 -0.09646412 -0.2908111 0.09300369
"27501" "S-tag249035" 2 137039784 137039804 0.4075604 -0.07039783 0.6416784 0.3090382 -0.2271909 -0.2019598 -0.03096753 0.1371235 -0.07003003 -0.1648809 -0.1361485 -0.1132916 -0.2095018 0.002329696 -0.124836 0.2358067 -0.02138576 -0.2131132 0.06165767 0.2736762 -0.224419
"27601" "S-tag252208" 2 138484045 138484065 0.3201921 -0.1171189 -1.765821 -0.5400005 0.07157566 0.195366 0.04402506 -0.6876907 -0.4036689 -0.602295 0.0462896 0.009704549 -1.037953 -0.2749212 -0.2034746 0.0791914 -0.1656017 -0.1876477 0.1259363 0.03586987 -0.4138657
"27701" "S-tag077204" 2 140046867 140046887 0.192816 0.2926081 0.5455913 -0.1691173 0.2129512 0.1439853 -0.1596953 0.1666737 0.1725275 0.1968813 0.3101991 0.3294681 -0.0804484 0.3851638 0.1243707 0.4565986 0.6841384 0.3213701 -0.1644942 -0.2561499 0.08486811
"27801" "S-tag301444" 2 141019713 141019733 -0.1436534 -0.1868597 -0.09143569 0.0280636 -0.14457 0.03161962 -0.06146985 -0.1634547 0.02852295 -0.1252617 -0.1624344 -0.2650813 -0.4083512 0.1731451 -0.3679205 -0.3688396 -0.008865723 -0.04853837 0.1608558 0.02814678 -0.02029142
"27901" "S-tag038856" 2 141121736 141121756 -0.03867694 -0.05730784 -0.1905015 0.01072206 -0.1449941 -0.05148176 -0.04947793 -0.1970781 0.1154241 -0.05209799 0.02471748 -0.2477277 -0.6773961 0.008424519 -0.217658 -0.04219798 -0.3001706 0.06257706 -0.2233138 0.2361144 -0.09548464
"28001" "S-tag046779" 2 141253408 141253428 0.1202773 0.03791999 0.1377067 -0.02552422 0.05605957 0.1572038 0.1268875 0.06789563 0.1622487 0.250396 -0.166276 0.2458488 -0.4490309 0.1518977 -0.2854529 0.1915517 0.1304777 -0.03636067 0.1125427 0.1672403 -0.08626354
"28101" "S-tag084922" 2 141463604 141463624 0.08250155 0.0510414 0.1389846 0.3298845 0.01164111 0.4055023 0.1522936 0.1397787 0.2102709 0.1008912 -0.02780195 0.2356207 -0.04140535 0.2072226 -0.4342907 0.1273912 0.397199 0.2114434 0.1293052 0.07958256 0.04259824
"28201" "S-tag093953" 2 141616911 141616931 0.01301632 -0.06197796 -0.0299893 -0.1818978 -0.134807 0.1002678 -0.1570316 -0.03183944 0.08536936 0.2315667 0.0772133 -0.100402 -0.4891075 -0.03923747 -0.2274482 0.01334574 -0.01319402 0.3320934 -0.1533761 0.01335741 -0.01802685
"28301" "S-tag113355" 2 141729063 141729083 0.3153336 0.06609705 0.1260159 0.2368839 0.03223681 0.2473775 0.1104841 0.3638323 0.2820198 0.2266322 0.1886484 0.431266 0.1658864 0.2751177 -0.154202 0.5311053 0.4338189 0.4635982 0.2464003 0.1402497 0.1918279
"28401" "S-tag172959" 2 141944255 141944275 0.2211016 0.1933623 0.2491203 0.4458885 0.1528303 0.01582952 0.03982639 0.2066991 0.2291841 0.2387893 0.2724767 0.2215594 0.2712872 0.3734231 -0.091721 0.12514 0.1666483 0.3054646 0.2469863 0.1073366 0.1059707
"28501" "S-tag257477" 2 142388394 142388414 0.2649418 0.0571482 -0.3736987 0.03425949 -0.007918095 0.04911239 0.1089164 0.168762 0.1967778 -0.03706397 -0.2592876 -0.5406745 0.394231 -0.1073527 -0.4754165 0.2817881 -0.3877661 -0.2871625 -0.2856394 -0.7268632 -0.6672691
"28601" "S-tag133086" 2 143420408 143420428 -0.2104037 -0.03753184 -0.3980748 -0.2226419 -0.1808517 -0.07093121 -0.2863269 -0.3668237 -0.06106741 0.03611472 -0.2365009 -0.07887421 0.01376419 0.04611005 -0.4447433 -0.367011 0.3022968 -0.2196595 0.04331601 -0.1326399 -0.1195873
"28701" "S-tag151487" 2 144919995 144920015 0.09068757 -0.1365011 -0.06324241 -0.2078154 -0.1882483 -0.1964079 0.06322531 -0.1999191 -0.3389849 -0.3877998 -0.4048135 -0.4137085 -0.6504831 -0.2317938 -0.5018458 -0.1934536 -0.228962 -0.3686466 -0.2959678 -0.03677243 -0.1873996
"28801" "S-tag158813" 2 146422200 146422220 -0.1430063 -0.1346087 -0.03211697 -0.1870981 -0.07246134 -0.1279727 -0.09779196 -0.2268559 -0.1025118 -0.06387857 -0.04468404 -0.08830093 -0.3295947 -0.1100346 -0.4635173 -0.1025057 -0.1296629 -0.04402793 0.1039083 0.319273 0.1461286
"28901" "S-tag078793" 2 147852042 147852062 -0.06190969 0.08780243 0.174456 0.1289371 0.02010438 -0.02216341 -0.09123044 -0.009441392 0.04633996 -0.09936894 -0.0001594916 -0.1153738 0.004740066 -0.0821441 -0.3190684 -0.1185008 -0.2344802 0.02122228 0.08942182 -0.07707953 -0.1756438
"29001" "S-tag152164" 2 149434485 149434505 0.6784233 0.0229458 0.2985159 1.019127 0.1623434 0.5554553 0.634568 0.9394906 0.5394292 0.8095747 0.6958995 -0.08250525 0.2140626 0.2654083 -0.6528639 -0.1657172 0.7632989 0.3446957 0.6157023 1.00648 0.1805816
"29101" "S-tag303010" 2 151041667 151041687 0.1871593 0.08892933 0.1853669 -0.2155623 -0.2973433 0.1135296 -0.2289736 -0.201118 -0.0656505 0.08311281 -0.05960575 0.1358013 0.1318493 0.01350891 -0.4548015 0.1214746 0.1478634 0.06917711 -0.06556553 0.2506796 -0.05561104
"29201" "S-tag309367" 2 152409416 152409436 0.312608 0.3122411 0.1466155 -0.2912461 0.09950241 0.1798066 -0.124197 -0.03870378 -0.2024622 0.2276374 0.09985881 -0.2035847 -0.004351642 0.001131343 0.1040379 0.03402674 -0.09068376 0.04394218 0.1447059 -0.06146409 0.1673141
"29301" "S-tag220072" 2 153473794 153473814 -0.1018821 0.2393457 -0.1755448 0.0235627 -0.08655158 -0.1584249 -0.18408 0.206349 0.08504256 0.02468581 0.2736158 0.1421486 0.7056787 0.03623223 -0.1543196 0.06460701 0.4359936 0.2936237 -0.09682658 0.02350423 -0.01406582
"29401" "S-tag301222" 2 154714724 154714744 -0.1320845 -0.2650883 -0.02952532 -0.1300851 -0.09176474 -0.3070759 0.02105986 0.1865318 0.4184986 0.1748808 0.1799372 -0.06065787 -0.09531362 0.1102626 -0.848792 0.08838483 -0.6787438 0.1160267 -0.09929132 0.3641621 0.1940806
"29501" "S-tag296826" 2 156156311 156156331 -0.05080442 -0.01442787 0.09071237 0.07232971 0.09674576 0.2481321 -0.03142086 0.2746296 0.3296264 0.3262875 0.2443544 0.2313616 0.4547267 0.4422069 -0.2105377 -0.05643981 -0.1678324 0.4449095 0.3171898 0.1063054 0.1970052
"29601" "S-tag045182" 2 157649957 157649977 -0.005698261 0.1770349 0.2176993 0.09467138 -0.05234401 0.112469 0.08733997 -0.03291389 0.2030851 0.01688105 -0.007651043 0.1821058 0.1225525 0.05946558 -0.4441918 -0.1929731 0.5861023 0.09559213 -0.0457509 0.2411962 0.05175959
"29701" "S-tag178538" 2 159071260 159071280 -0.3060535 -0.06858771 -0.2066795 0.1039549 -0.3445586 -0.1530865 -0.03150108 -0.1591455 -0.2646568 -0.05976754 -0.2918711 -0.1664014 -0.2288499 -0.1582099 -0.561292 -0.2797587 -0.4550947 -0.148458 -0.2214112 -0.1032132 -0.1586955
"29801" "S-tag234446" 2 160431740 160431760 -0.4685407 -0.0912973 -0.3326752 -0.2126857 -0.3294013 -0.1284285 -0.25456 -0.3172857 -0.03541435 -0.1910188 -0.06378404 -0.2094991 -0.2309063 -0.1647338 -0.5523962 -0.2978663 -0.1045756 0.08373944 -0.3959419 -0.3788419 -0.113261
"29901" "S-tag195933" 2 161891382 161891402 0.4920795 0.4278267 0.4034185 0.4117593 0.2984523 0.2663892 0.2527737 0.1408024 0.2087232 0.02177865 0.1598916 -0.01631943 0.6684494 0.3582784 0.2245421 0.5593146 0.7558807 0.2198059 -0.07397228 0.1506883 0.1082615
"30001" "S-tag228423" 2 163298386 163298406 0.1132379 -0.005359051 0.02094661 0.1051002 0.1419475 0.07389355 -0.1844707 0.1135996 0.09227537 0.1505894 0.02398046 0.04823967 0.3628612 0.121675 -0.1906716 -0.02315594 -0.04459679 0.3098812 -0.1215462 -0.1489313 0.1483869
"30101" "S-tag129418" 2 164798274 164798294 -0.05090637 -0.3704853 -0.1024297 -0.1863987 -0.1962116 -0.2063494 -0.1508402 -0.4364564 -0.2605545 -0.2737532 -0.358477 -0.3115163 -0.6435333 -0.09762639 -1.01038 -0.30118 -0.6936868 -0.4341206 -0.3457498 -0.5859947 -0.3391417
"30201" "S-tag277021" 2 166268325 166268345 0.1616413 0.2922833 0.1703278 0.4036264 0.09760444 0.1169284 0.1652918 0.09416658 0.03092447 0.04802191 0.03796615 0.163688 0.1292752 0.1609851 -0.1750775 0.1793343 0.4438459 0.1394182 0.008311558 0.1239777 0.1161726
"30301" "S-tag304892" 2 167758393 167758413 0.2055069 -0.2250136 0.2156068 0.3426876 0.1222424 -0.1754134 0.1549212 0.2051056 0.2938317 0.1681028 -0.001889582 0.5049076 0.1766904 0.4316295 -0.5881091 0.4917099 0.9104161 -0.2304443 0.06138908 0.3263576 -0.1234135
"30401" "S-tag130133" 2 169193973 169193993 -0.2657616 -0.0598945 -0.08293577 0.006467302 -0.0146615 -0.07283614 0.2315895 0.297358 0.2677409 0.2425967 0.1184483 -0.0919594 0.02706308 -0.1293403 -0.4545931 0.01341718 -0.2843802 0.368321 0.483665 0.6837216 0.1916348
"30501" "S-tag237205" 2 170696078 170696098 -0.02546762 -0.08847466 0.01790533 -0.4227659 -0.2528716 -0.1068676 -0.2202829 -0.01797816 -0.1591725 -0.04741624 0.0255408 -0.7651371 -0.5408418 -0.06362193 -0.6898652 -0.2426761 -0.6418571 0.03007801 -0.06114044 -0.117518 0.0003307644
"30601" "S-tag012494" 2 171416966 171416986 -0.284581 -0.3312667 -0.1477624 -0.042473 -0.2750128 -0.589289 -0.219911 -0.2163057 0.008259662 -0.5443943 -0.1726284 -0.1747703 -0.5473412 -0.2430525 -0.5354646 0.04962947 0.3370626 -0.5284165 -0.1844004 -0.06075763 -0.03087399
"30701" "S-tag165376" 2 172694629 172694649 -0.08041304 0.3539484 -0.1848394 0.2924522 0.1334271 -0.03697687 0.1068183 -0.1653617 0.4504131 0.1415777 0.3654154 -0.05458763 -0.108637 0.06598344 -0.09329352 0.05639358 0.5217975 0.09256829 0.01162136 -0.08856441 0.01566539
"30801" "S-tag090194" 2 173735925 173735945 0.004156678 0.0849986 -0.107414 0.4017755 -0.1865568 0.1090641 0.341316 0.2482656 0.05988038 0.05287401 0.1293968 -0.1441636 0.05955913 0.01720276 -0.05512119 0.1990884 1.226329 0.07585508 0.3046242 -0.06357821 -0.1190103
"30901" "S-tag218579" 2 175240292 175240312 0.2212713 -0.1182725 0.04849489 0.3571438 -0.2377997 0.06618152 0.1657002 -0.03154171 0.02789983 -0.1726777 -0.2386986 0.01136961 -0.1584868 -0.09489781 -0.3416582 0.4105392 0.9199108 -0.4835314 -0.3216923 0.1590336 -0.3668864
"31001" "S-tag240699" 2 176524772 176524792 -0.2697369 0.02994074 -0.7126673 -0.5298693 -0.09723154 -0.2090887 -0.1294353 -0.2712305 -0.1932406 0.1117727 -0.5048229 0.1497683 0.01731656 -0.02469834 -0.4082533 0.09944309 0.3672895 0.1638876 -0.09522285 0.01278573 0.1541881
"31101" "S-tag172688" 2 177840892 177840912 0.3518535 0.400562 0.04257955 -0.1456452 0.1828819 0.1207837 0.1967889 0.2626137 0.3054879 0.1436276 0.2495896 0.4164262 0.3673567 0.1000011 -0.4008169 -0.008212206 0.3164469 0.4109948 0.2240386 0.4303865 0.3827842
"31201" "S-tag109575" 2 179213872 179213892 0.3219647 -0.2117263 0.1050718 0.08363827 0.08277422 0.1304574 0.2440192 0.1393142 0.0807485 -0.005269916 0.006165264 0.03294385 -0.03741376 -0.1344316 0.0390696 0.1771123 -0.1265797 -0.002941778 -0.227222 0.02209324 -0.03146297
"31301" "S-tag004208" 2 180708309 180708329 0.1293724 0.2321636 0.09174008 0.5649253 0.000945673 0.1055331 0.03885779 0.1429292 0.1970295 0.2321282 0.2234996 -0.1184953 0.3861502 0.1782251 -0.6319874 -0.2076891 0.7759109 0.4047164 0.2143611 -0.2044165 0.06966162
"31401" "S-tag191530" 2 182257449 182257469 -0.2866783 -0.3990219 -0.3370684 -0.3832385 0.08302236 -0.002518215 -0.3779549 -0.5902398 0.08681807 -0.4884704 -0.4393046 -0.07878123 -0.4055364 0.2798828 -0.6686309 -0.2985834 -0.1588501 -0.01832244 -0.379946 -0.1507924 -0.225876
"31501" "S-tag172174" 2 183602821 183602841 -0.09982488 -0.07365872 -0.2191673 -0.02820023 -0.2851743 0.02126828 -0.3272986 -0.03403508 0.2762812 0.04271118 0.2224405 -0.08554576 0.2261257 -0.2655779 -0.4926915 0.04906111 0.6002622 0.3166399 -0.2748072 -0.2169327 -0.02427559
"31601" "S-tag320013" 2 185143062 185143082 -0.6043651 0.01233347 -0.3357642 -0.07709115 0.04993009 -0.4065487 -0.2078526 -0.4159431 -0.03336361 -0.3219156 -0.6020111 -0.5216191 -0.2747414 -0.1968032 -0.5051217 -0.3329059 -0.7245585 -0.1782252 -0.2564063 -0.5253061 -0.03626116
"31701" "S-tag188681" 2 186691048 186691068 0.05378699 -0.2976548 -0.2147178 -0.3068348 -0.3001811 -0.4021186 -0.1673041 -0.01744135 0.0149079 -0.07364098 -0.1216811 -0.09096219 -0.4703749 -0.08483289 -0.3039595 -0.09668912 -1.034238 -0.4703251 -0.8679337 -0.1661613 -0.1157997
"31801" "S-tag278865" 2 188256158 188256178 0.0857691 0.3826476 -0.0166482 0.4575656 0.170458 0.1750868 0.1030054 0.1222714 0.05240735 0.1394048 0.08386896 -0.05731415 -0.1170712 0.03612551 -0.2450619 0.1958434 0.3093503 -0.005981835 0.1333723 0.04191606 -0.03686537
"31901" "S-tag142871" 2 189739928 189739948 0.8094963 0.3445279 0.2191019 0.270728 0.170285 -0.02554973 0.3414831 0.579117 0.2330422 0.02990535 0.4083997 0.4525764 0.4196844 0.5820053 -0.2425215 0.6071211 0.8378671 0.06415858 0.417878 0.3952692 0.1670393
"32001" "S-tag079252" 2 190727531 190727551 0.07198321 0.2824187 -0.009843295 0.6040491 -0.1006783 0.45555 0.09186537 -0.02052365 -0.02698443 -0.1496974 -0.006780271 -0.07926831 0.07916138 -0.1866489 -0.4046038 0.457953 0.5361491 0.02302818 -0.001275333 0.1166897 -0.04809537
"32101" "S-tag050734" 2 192072088 192072108 0.006490743 -0.2544672 -0.4901953 -0.6287561 -0.0121419 -0.04292815 -0.4192784 -0.6101373 -0.3586875 0.06498531 0.2638754 -0.0728923 -0.1309845 -0.3320928 -0.5377514 0.08699244 -0.329336 -0.3762167 -0.5541477 -0.1361932 -0.5772336
"32201" "S-tag092093" 2 193647475 193647495 0.1872619 -0.2309155 -0.03594102 -0.1960847 -0.02423143 -0.27869 0.03586788 0.1278357 -0.0614057 -0.1027899 -0.2000383 -0.1955623 -0.2626919 0.02200811 -0.2199092 -0.09773235 -0.7572741 -0.1543847 0.01681336 -0.1219751 -0.134945
"32301" "S-tag261360" 2 195174772 195174792 0.2446777 0.09588472 0.1334417 0.3798369 0.2444594 0.1187921 0.2394807 0.04471266 0.2270028 0.2482534 -0.03148213 0.5246088 0.2722518 0.3202461 0.07272743 0.4156115 0.5861173 -0.08151235 0.2892524 0.5304241 0.1632595
"32401" "S-tag239248" 2 196696633 196696653 0.01581613 -0.02839977 0.3702132 0.08283675 0.0179233 -0.2014169 -0.08000857 0.05445421 0.1779467 0.07529876 0.1794824 0.06622343 -0.215547 0.03343332 -0.09315164 0.02458309 0.09413162 -0.1241236 -0.00443875 0.1148904 0.1343881
"32501" "S-tag267634" 2 198246625 198246645 0.1535069 0.3154466 0.1417734 0.0710573 -0.003570301 0.1249407 -0.06054211 -0.0427193 0.2820887 0.08440697 0.2101974 0.06874754 0.3898837 0.3397851 0.0752985 0.1296041 0.2180672 0.1530548 -0.02362339 0.1929872 0.1382002
"32601" "S-tag321228" 2 199680501 199680521 -0.1563804 -0.3467313 -0.4283261 -0.09244888 -0.6746767 -0.242425 -0.1309548 -0.3223 -0.1527442 -0.4371377 -0.7135569 -0.400722 -0.549046 -0.2831498 -0.5289535 -0.2341096 -0.4362475 -0.3563322 -0.2956258 -0.2629427 -0.009123053
"32701" "S-tag325718" 2 201184348 201184368 0.1416612 -0.09471367 -0.3512621 -0.3845125 0.4881766 -0.007136785 0.2655531 0.3607737 0.2056126 -0.2166824 0.08270786 -0.2299455 0.1395527 0.577741 -0.5410028 -0.1793276 -0.00477859 -0.08205511 -0.2879203 -0.1000541 0.3363765
"32801" "S-tag267380" 2 202501448 202501468 -0.5750576 -0.2319621 -0.6777267 -0.7528016 -0.3197309 -0.4265017 -0.2107954 -0.5553132 -0.3482736 -0.3772677 -0.6001205 -0.0759154 -0.7956449 -0.4474614 -0.2424611 0.1895384 0.2216253 -0.3147137 -0.4265353 -0.541991 -0.4160125
